Catégorie,Information,Source URL
Identité,Slogan implicite: AI-Driven Tech Consulting,https://www.devoteam.com/
Identité,"Mission: Conseiller de confiance, navigation des entreprises à travers les changements technologiques depuis 30 ans.",https://www.devoteam.com/about-us/
Identité,"Valeurs: Innovation technologique, durabilité (VEEP strategy), accompagnement des entreprises dans leur transition vers l'IA.","https://www.devoteam.com/about-us/, https://www.devoteam.com/"
Services,"Conseil en IA et Machine Learning (AI/ML), Transformation Cloud, Cybersécurité, Data & Analytics, Transformation Digitale, Conseil aux entreprises, Design de produits.","https://www.devoteam.com/services/ai-ml/, https://www.devoteam.com/google-cloud/, https://www.linkedin.com/company/devoteam"
Services,Plus de 1000 consultants AI et 300+ projets AI réussis.,https://www.devoteam.com/services/ai-ml/
Services,"Partenariats avec AWS, Google Cloud, Microsoft, Databricks, Snowflake, ServiceNow, Atlassian, MuleSoft.","https://www.devoteam.com/services/ai-ml/, https://www.devoteam.com/partners/, https://www.devoteam.com/join-us/"
Présence Locale,Plus de 11 000 employés dans plus de 25 pays en EMEA.,"https://www.devoteam.com/about-us/, https://www.linkedin.com/company/devoteam"
Présence Locale,"Bureaux en Suède, Tunisie, Turquie, Maroc, Pays-Bas, Norvège, Pologne, Portugal, Royaume-Uni, Moyen-Orient (Arabie Saoudite, Émirats Arabes Unis, Jordanie).","https://www.devoteam.com/fr/nos-bureaux/, https://www.devoteam.com/our-offices/"
Publications,"Cloud Trend Report 2025, TechRadar by Devoteam, AI Readiness Survey, The CTO Perspective, Tech2Tech.",https://www.devoteam.com/
Clients,SEDE Veolia.,https://www.devoteam.com/fr/
